crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[2.294909715652466, -1.3517341613769531, -0.14331629872322083]",train,"[0.898154616355896, 0.02342252992093563, 0.0784229263663292]",0,0,sub-037,0,499.0
00000849.npy,"[1.4321658611297607, -0.6676548719406128, -0.03522691875696182]",train,"[0.7390960454940796, 0.09052330255508423, 0.17038066685199738]",0,0,sub-037,500,999.0
00000850.npy,"[2.1182291507720947, -0.9020041227340698, -0.0008413642644882202]",train,"[0.8554809093475342, 0.04173877835273743, 0.10278024524450302]",0,0,sub-037,1000,1499.0
00000851.npy,"[2.4859797954559326, -1.5189669132232666, -0.13957346975803375]",train,"[0.916905403137207, 0.01671084202826023, 0.06638366729021072]",0,0,sub-037,1500,1999.0
00000852.npy,"[1.7815576791763306, -0.9213653206825256, -0.03810979425907135]",train,"[0.8136107325553894, 0.05451953411102295, 0.13186973333358765]",0,0,sub-037,2000,2499.0
00000853.npy,"[1.210715889930725, -0.4351040720939636, -0.21885475516319275]",train,"[0.6981942653656006, 0.13464981317520142, 0.16715586185455322]",0,0,sub-037,2500,2999.0
00000854.npy,"[1.608827829360962, -0.7517596483230591, -0.6197599768638611]",train,"[0.8319154977798462, 0.07850349694490433, 0.08958098292350769]",0,0,sub-037,3000,3499.0
00000855.npy,"[1.3631802797317505, -0.35280025005340576, -0.44130033254623413]",train,"[0.7438554167747498, 0.1337357759475708, 0.12240879982709885]",0,0,sub-037,3500,3999.0
00000856.npy,"[2.401954174041748, -0.9577402472496033, -0.3959631025791168]",train,"[0.9126729369163513, 0.03171161934733391, 0.05561540275812149]",0,0,sub-037,4000,4499.0
00000857.npy,"[1.193734884262085, -0.4613243341445923, -0.1440632939338684]",train,"[0.6879928112030029, 0.13146217167377472, 0.18054503202438354]",0,0,sub-037,4500,4999.0
00000858.npy,"[2.9271202087402344, -1.0634989738464355, -0.201882004737854]",train,"[0.9413981437683105, 0.017404817044734955, 0.04119694232940674]",0,0,sub-037,5000,5499.0
00000859.npy,"[2.802739143371582, -1.260289192199707, 0.6559641361236572]",train,"[0.8817896842956543, 0.015164014883339405, 0.10304632037878036]",0,0,sub-037,5500,5999.0
00000860.npy,"[2.646688222885132, -1.4255419969558716, 0.0321970209479332]",train,"[0.9172255992889404, 0.01562892273068428, 0.06714551895856857]",0,0,sub-037,6000,6499.0
00000861.npy,"[3.1368966102600098, -1.9016770124435425, -0.3941406011581421]",train,"[0.965476930141449, 0.006259175483137369, 0.028263887390494347]",0,0,sub-037,6500,6999.0
00000862.npy,"[3.9174389839172363, -1.7284753322601318, -0.3436552882194519]",train,"[0.9826669096946716, 0.0034706993028521538, 0.013862344436347485]",0,0,sub-037,7000,7499.0
00000863.npy,"[1.7906708717346191, -0.7461090087890625, 0.06950075179338455]",train,"[0.7949267625808716, 0.06289521604776382, 0.1421779990196228]",0,0,sub-037,7500,7999.0
00000864.npy,"[1.6709301471710205, -1.1395045518875122, -0.2366793155670166]",train,"[0.8273942470550537, 0.0497916117310524, 0.1228141039609909]",0,0,sub-037,8000,8499.0
00000865.npy,"[1.283388376235962, -0.5364633202552795, -0.2825027406215668]",train,"[0.7294203639030457, 0.11820241808891296, 0.1523772031068802]",0,0,sub-037,8500,8999.0
00000866.npy,"[1.5619277954101562, -0.9988886713981628, -0.04637502133846283]",train,"[0.7827979922294617, 0.06046460196375847, 0.15673741698265076]",0,0,sub-037,9000,9499.0
00000867.npy,"[-0.8985658884048462, 0.11954335868358612, 2.1489064693450928]",train,"[0.04027386009693146, 0.11147630959749222, 0.8482497930526733]",2,0,sub-037,9500,9999.0
00000868.npy,"[1.0104581117630005, -0.37723278999328613, -0.04274286329746246]",train,"[0.6255980730056763, 0.1561812460422516, 0.21822074055671692]",0,0,sub-037,10000,10499.0
00000869.npy,"[-0.20425644516944885, 0.1615360528230667, 0.874258279800415]",train,"[0.18580573797225952, 0.26786795258522034, 0.5463263392448425]",2,0,sub-037,10500,10999.0
00000870.npy,"[0.0021215975284576416, -0.011944010853767395, 1.1150293350219727]",train,"[0.19883771240711212, 0.19606050848960876, 0.6051018238067627]",2,0,sub-037,11000,11499.0
00000871.npy,"[4.065096855163574, -1.9676809310913086, -0.7477445006370544]",train,"[0.9895860552787781, 0.0023738399613648653, 0.008040130138397217]",0,0,sub-037,11500,11999.0
00000872.npy,"[3.2482123374938965, -1.8973253965377808, 0.10893822461366653]",train,"[0.9531620740890503, 0.0055524930357933044, 0.041285477578639984]",0,0,sub-037,12000,12499.0
00000873.npy,"[2.4695961475372314, -1.1669511795043945, -0.1374264657497406]",train,"[0.9090108275413513, 0.02394619956612587, 0.06704302132129669]",0,0,sub-037,12500,12999.0
00000874.npy,"[0.7868289947509766, -0.3561860918998718, 0.058701805770397186]",train,"[0.5550410151481628, 0.17697826027870178, 0.2679806649684906]",0,0,sub-037,13000,13499.0
00000875.npy,"[2.261514902114868, -1.2222673892974854, -0.12085726857185364]",train,"[0.8904541730880737, 0.02732902392745018, 0.0822167843580246]",0,0,sub-037,13500,13999.0
