crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00001625.npy,"[-0.3596380054950714, -0.8154140114784241, -0.17340987920761108]",train,"[0.35227975249290466, 0.2233298271894455, 0.42439043521881104]",2,0,sub-038,0,499.0
00001626.npy,"[-0.5737967491149902, -0.7162469029426575, 0.09427035599946976]",train,"[0.2619381844997406, 0.22716087102890015, 0.5109009146690369]",2,0,sub-038,500,999.0
00001627.npy,"[0.1200137510895729, -0.5242727398872375, -0.07813884317874908]",train,"[0.4263880252838135, 0.22386948764324188, 0.34974247217178345]",0,0,sub-038,1000,1499.0
00001628.npy,"[-0.3942379057407379, -0.16586622595787048, 0.3558250069618225]",train,"[0.2286401391029358, 0.2872982919216156, 0.4840616285800934]",2,0,sub-038,1500,1999.0
00001629.npy,"[-0.4593299925327301, -0.9376444816589355, 0.06881815940141678]",train,"[0.3016030788421631, 0.18694177269935608, 0.5114551782608032]",2,0,sub-038,2000,2499.0
00001630.npy,"[-0.8149657249450684, -1.2936526536941528, 0.19392849504947662]",train,"[0.22924405336380005, 0.14203880727291107, 0.6287171244621277]",2,0,sub-038,2500,2999.0
00001631.npy,"[-0.06435994803905487, -1.0575205087661743, -0.7694194316864014]",train,"[0.5363416075706482, 0.1986631602048874, 0.2649952471256256]",0,0,sub-038,3000,3499.0
00001632.npy,"[-0.6898517608642578, -0.4713374972343445, 0.14366117119789124]",train,"[0.21999219059944153, 0.2737201750278473, 0.5062876343727112]",2,0,sub-038,3500,3999.0
00001633.npy,"[-0.565559446811676, -0.5323992371559143, 0.5400130748748779]",train,"[0.19783687591552734, 0.20450718700885773, 0.5976559519767761]",2,0,sub-038,4000,4499.0
00001634.npy,"[-1.0116841793060303, -0.823835015296936, 0.5881319642066956]",train,"[0.13968876004219055, 0.1685556024312973, 0.6917556524276733]",2,0,sub-038,4500,4999.0
00001635.npy,"[-0.35407447814941406, -0.6243779063224792, -0.5038051009178162]",train,"[0.3810847997665405, 0.2908240556716919, 0.3280911147594452]",0,0,sub-038,5000,5499.0
