crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[1.5930532217025757, -1.7693288326263428, -0.7846082448959351]",train,"[0.8869810104370117, 0.03073621727526188, 0.08228280395269394]",0,0,sub-037,0,499.0
00000849.npy,"[1.2566076517105103, -1.114152193069458, -0.4044911861419678]",train,"[0.7792168259620667, 0.07278641313314438, 0.14799676835536957]",0,0,sub-037,500,999.0
00000850.npy,"[1.2346179485321045, -1.369664192199707, -0.5400338768959045]",train,"[0.8041825294494629, 0.059474293142557144, 0.1363431066274643]",0,0,sub-037,1000,1499.0
00000851.npy,"[1.632929801940918, -1.6986193656921387, -0.8239727020263672]",train,"[0.8917124271392822, 0.031867749989032745, 0.07641974836587906]",0,0,sub-037,1500,1999.0
00000852.npy,"[1.6420738697052002, -1.4571093320846558, -0.1786283552646637]",train,"[0.8285017013549805, 0.037353843450546265, 0.1341443955898285]",0,0,sub-037,2000,2499.0
00000853.npy,"[0.8460675477981567, -0.37094172835350037, -0.07409127801656723]",train,"[0.5901201367378235, 0.17474310100078583, 0.23513676226139069]",0,0,sub-037,2500,2999.0
00000854.npy,"[1.2763820886611938, -0.7439484000205994, -0.5982706546783447]",train,"[0.7775930166244507, 0.10311787575483322, 0.11928916722536087]",0,0,sub-037,3000,3499.0
00000855.npy,"[0.5307774543762207, -0.45065510272979736, -0.22126761078834534]",train,"[0.5416603088378906, 0.20300011336803436, 0.25533950328826904]",0,0,sub-037,3500,3999.0
00000856.npy,"[2.0425000190734863, -1.4047669172286987, -1.4104593992233276]",train,"[0.9403053522109985, 0.029932282865047455, 0.029762376099824905]",0,0,sub-037,4000,4499.0
00000857.npy,"[0.8363048434257507, -0.9124939441680908, -0.5423356890678406]",train,"[0.7013096213340759, 0.1220158115029335, 0.1766745001077652]",0,0,sub-037,4500,4999.0
00000858.npy,"[1.3001289367675781, -1.623091459274292, -1.3667008876800537]",train,"[0.8902877569198608, 0.04786211624741554, 0.0618501752614975]",0,0,sub-037,5000,5499.0
00000859.npy,"[1.4097408056259155, -2.635938882827759, -1.6750167608261108]",train,"[0.9405224323272705, 0.016457082703709602, 0.04302055016160011]",0,0,sub-037,5500,5999.0
00000860.npy,"[1.081402063369751, -1.9192068576812744, -0.7072850465774536]",train,"[0.821735680103302, 0.04088690131902695, 0.13737738132476807]",0,0,sub-037,6000,6499.0
00000861.npy,"[2.1076674461364746, -2.286667585372925, -0.7944689989089966]",train,"[0.9369850754737854, 0.011569038964807987, 0.051445916295051575]",0,0,sub-037,6500,6999.0
00000862.npy,"[2.086287260055542, -2.1405181884765625, -1.4699680805206299]",train,"[0.9586399793624878, 0.013995137996971607, 0.02736487425863743]",0,0,sub-037,7000,7499.0
00000863.npy,"[0.8135007619857788, -0.8576206564903259, -0.5680170059204102]",train,"[0.6948145031929016, 0.13065019249916077, 0.17453531920909882]",0,0,sub-037,7500,7999.0
00000864.npy,"[0.9818328619003296, -0.9823644161224365, -0.624500036239624]",train,"[0.7457730770111084, 0.10460842400789261, 0.149618461728096]",0,0,sub-037,8000,8499.0
00000865.npy,"[0.5131276845932007, -0.49479877948760986, -0.2445828914642334]",train,"[0.5453415513038635, 0.19903600215911865, 0.2556224763393402]",0,0,sub-037,8500,8999.0
