crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[2.909897565841675, -3.986811637878418, -2.042051315307617]",train,"[0.9919840693473816, 0.0010030021658167243, 0.00701294606551528]",0,0,sub-037,0,499.0
00000849.npy,"[1.1205973625183105, -1.7427256107330322, -0.7830755114555359]",train,"[0.8291193246841431, 0.04732511192560196, 0.12355558574199677]",0,0,sub-037,500,999.0
00000850.npy,"[1.7592533826828003, -2.5279829502105713, -1.5282491445541382]",train,"[0.9513935446739197, 0.013074862770736217, 0.035531699657440186]",0,0,sub-037,1000,1499.0
00000851.npy,"[2.87660551071167, -4.548673152923584, -2.672874689102173]",train,"[0.9955345392227173, 0.0005933333886787295, 0.003872109344229102]",0,0,sub-037,1500,1999.0
00000852.npy,"[1.300998568534851, -2.1304354667663574, -1.2982077598571777]",train,"[0.9036092162132263, 0.02922319620847702, 0.06716756522655487]",0,0,sub-037,2000,2499.0
00000853.npy,"[0.7537310123443604, -0.6607211232185364, -1.2677618265151978]",train,"[0.7269997596740723, 0.17670364677906036, 0.09629661589860916]",0,0,sub-037,2500,2999.0
00000854.npy,"[0.9691936373710632, -1.6922417879104614, -1.4441372156143188]",train,"[0.8625414371490479, 0.06024670600891113, 0.07721179723739624]",0,0,sub-037,3000,3499.0
00000855.npy,"[-0.13903062045574188, -0.4983104169368744, -0.5523215532302856]",train,"[0.42379188537597656, 0.29588258266448975, 0.2803255617618561]",0,0,sub-037,3500,3999.0
00000856.npy,"[3.1472105979919434, -3.7341575622558594, -2.4549224376678467]",train,"[0.9953054189682007, 0.0010219181422144175, 0.003672662191092968]",0,0,sub-037,4000,4499.0
00000857.npy,"[0.7472935914993286, -1.4625775814056396, -0.6233848929405212]",train,"[0.7333263158798218, 0.08045673370361328, 0.18621695041656494]",0,0,sub-037,4500,4999.0
00000858.npy,"[3.0537283420562744, -3.9020214080810547, -2.4124691486358643]",train,"[0.9948462247848511, 0.0009482270106673241, 0.004205489531159401]",0,0,sub-037,5000,5499.0
00000859.npy,"[3.996138572692871, -5.872360706329346, -2.9635815620422363]",train,"[0.9989998936653137, 5.172856253921054e-05, 0.0009484127513132989]",0,0,sub-037,5500,5999.0
00000860.npy,"[1.4046525955200195, -2.9183318614959717, -1.245729684829712]",train,"[0.9226075410842896, 0.012234003283083439, 0.0651584267616272]",0,0,sub-037,6000,6499.0
00000861.npy,"[1.3475574254989624, -2.4531402587890625, -1.3321939706802368]",train,"[0.9166445732116699, 0.020491743460297585, 0.06286367028951645]",0,0,sub-037,6500,6999.0
00000862.npy,"[3.402029275894165, -5.091334819793701, -2.4850339889526367]",train,"[0.9970290064811707, 0.00020421447698026896, 0.0027668699622154236]",0,0,sub-037,7000,7499.0
00000863.npy,"[0.5222142338752747, -1.4955542087554932, -1.723963975906372]",train,"[0.8072623610496521, 0.10732702165842056, 0.08541063219308853]",0,0,sub-037,7500,7999.0
00000864.npy,"[1.1901789903640747, -1.5813356637954712, -1.1551439762115479]",train,"[0.8632720708847046, 0.0540124885737896, 0.0827154815196991]",0,0,sub-037,8000,8499.0
00000865.npy,"[0.7879644632339478, -1.2809042930603027, -1.0859763622283936]",train,"[0.781343936920166, 0.09870610386133194, 0.11994995921850204]",0,0,sub-037,8500,8999.0
00000866.npy,"[1.1678954362869263, -2.8316338062286377, -1.3480128049850464]",train,"[0.9098239541053772, 0.01667185313999653, 0.07350422441959381]",0,0,sub-037,9000,9499.0
00000867.npy,"[-2.060574769973755, -1.0322774648666382, 0.8570399880409241]",train,"[0.044856298714876175, 0.12543167173862457, 0.8297120332717896]",2,0,sub-037,9500,9999.0
00000868.npy,"[-1.1317102909088135, -0.41508719325065613, -0.17726996541023254]",train,"[0.17715658247470856, 0.36272943019866943, 0.460114061832428]",2,0,sub-037,10000,10499.0
00000869.npy,"[-1.3372966051101685, -0.47648224234580994, 0.04677240177989006]",train,"[0.13593986630439758, 0.321509450674057, 0.5425506830215454]",2,0,sub-037,10500,10999.0
00000870.npy,"[-1.5672374963760376, -0.553214430809021, 0.31681883335113525]",train,"[0.09674163162708282, 0.2666846811771393, 0.6365737318992615]",2,0,sub-037,11000,11499.0
00000871.npy,"[4.2162909507751465, -5.332571983337402, -3.5266177654266357]",train,"[0.9994951486587524, 7.124631520127878e-05, 0.00043358904076740146]",0,0,sub-037,11500,11999.0
00000872.npy,"[2.9532158374786377, -4.663609981536865, -2.778325080871582]",train,"[0.9962796568870544, 0.0004902704386040568, 0.003230016678571701]",0,0,sub-037,12000,12499.0
00000873.npy,"[2.3212335109710693, -3.54243540763855, -1.7703114748001099]",train,"[0.980820894241333, 0.002786317840218544, 0.016392841935157776]",0,0,sub-037,12500,12999.0
00000874.npy,"[0.45323991775512695, -1.0743112564086914, -0.8500044941902161]",train,"[0.671720027923584, 0.14580796658992767, 0.1824720948934555]",0,0,sub-037,13000,13499.0
00000875.npy,"[2.3510072231292725, -2.7404654026031494, -1.9898556470870972]",train,"[0.9811865091323853, 0.006033274810761213, 0.012780234217643738]",0,0,sub-037,13500,13999.0
00000876.npy,"[0.6308896541595459, -1.553567886352539, -1.219923973083496]",train,"[0.7876198291778564, 0.08863775432109833, 0.12374239414930344]",0,0,sub-037,14000,14499.0
00000877.npy,"[2.0375356674194336, -3.5404741764068604, -1.6842983961105347]",train,"[0.972791314125061, 0.0036772307939827442, 0.023531392216682434]",0,0,sub-037,14500,14999.0
00000878.npy,"[1.6711533069610596, -2.771904945373535, -1.3822283744812012]",train,"[0.944323718547821, 0.011105172336101532, 0.0445711724460125]",0,0,sub-037,15000,15499.0
00000879.npy,"[2.022458553314209, -3.2793498039245605, -1.5340592861175537]",train,"[0.9675666093826294, 0.004820974078029394, 0.027612440288066864]",0,0,sub-037,15500,15999.0
00000880.npy,"[1.5523760318756104, -2.6729161739349365, -1.150195837020874]",train,"[0.92451012134552, 0.013517319224774837, 0.061972588300704956]",0,0,sub-037,16000,16499.0
00000881.npy,"[3.52773380279541, -4.903868198394775, -2.7609591484069824]",train,"[0.9979292154312134, 0.00021742089302279055, 0.0018533399561420083]",0,0,sub-037,16500,16999.0
00000882.npy,"[1.1896628141403198, -1.648002028465271, -1.0900381803512573]",train,"[0.8614176511764526, 0.050446562469005585, 0.08813576400279999]",0,0,sub-037,17000,17499.0
00000883.npy,"[1.1944955587387085, -2.5168614387512207, -1.1010315418243408]",train,"[0.8887683153152466, 0.02172534354031086, 0.0895063504576683]",0,0,sub-037,17500,17999.0
00000884.npy,"[1.1888148784637451, -2.207839012145996, -1.1376278400421143]",train,"[0.8840735554695129, 0.029603317379951477, 0.08632311969995499]",0,0,sub-037,18000,18499.0
00000885.npy,"[-0.012025813572108746, -0.9107893705368042, -0.7538455128669739]",train,"[0.5309774279594421, 0.21614642441272736, 0.2528761625289917]",0,0,sub-037,18500,18999.0
00000886.npy,"[0.856224000453949, -1.9641234874725342, -1.231430172920227]",train,"[0.8449065089225769, 0.05034395307302475, 0.10474950075149536]",0,0,sub-037,19000,19499.0
00000887.npy,"[-0.13359975814819336, -0.00618721405044198, -1.3231481313705444]",train,"[0.4097950756549835, 0.4654802680015564, 0.12472468614578247]",1,0,sub-037,19500,19999.0
00000888.npy,"[0.1502171754837036, -1.206411600112915, -0.6973776817321777]",train,"[0.5931298136711121, 0.1527472287416458, 0.2541229724884033]",0,0,sub-037,20000,20499.0
00000889.npy,"[3.1503491401672363, -5.103447914123535, -2.276888370513916]",train,"[0.995366096496582, 0.0002590622170828283, 0.0043748533353209496]",0,0,sub-037,20500,20999.0
00000890.npy,"[0.3681907653808594, -0.8273741602897644, -0.5138566493988037]",train,"[0.5825918912887573, 0.17625324428081512, 0.24115490913391113]",0,0,sub-037,21000,21499.0
00000891.npy,"[-1.669640064239502, 0.37296220660209656, -0.6252294778823853]",train,"[0.08656231313943863, 0.6674516201019287, 0.24598611891269684]",1,0,sub-037,21500,21999.0
00000892.npy,"[3.038463592529297, -4.033961296081543, -2.295468330383301]",train,"[0.9943587183952332, 0.000843389134388417, 0.004797841422259808]",0,0,sub-037,22000,22499.0
00000893.npy,"[3.0147244930267334, -4.518647193908691, -1.7601698637008667]",train,"[0.9911059737205505, 0.0005301737110130489, 0.008363920263946056]",0,0,sub-037,22500,22999.0
00000894.npy,"[1.6976021528244019, -3.2148399353027344, -1.7402509450912476]",train,"[0.962011992931366, 0.007075122557580471, 0.030912909656763077]",0,0,sub-037,23000,23499.0
00000895.npy,"[1.964059829711914, -1.6753296852111816, -2.589768409729004]",train,"[0.9645106792449951, 0.0253361277282238, 0.010153238661587238]",0,0,sub-037,23500,23999.0
00000896.npy,"[0.21179239451885223, -1.350907325744629, -0.5271337628364563]",train,"[0.5926992893218994, 0.12421171367168427, 0.28308895230293274]",0,0,sub-037,24000,24499.0
00000897.npy,"[0.9702809453010559, -1.9560182094573975, -0.5824782848358154]",train,"[0.7903525233268738, 0.042358964681625366, 0.16728849709033966]",0,0,sub-037,24500,24999.0
00000898.npy,"[-0.1453402191400528, -0.6675640940666199, -0.41110584139823914]",train,"[0.42376136779785156, 0.2513751983642578, 0.3248634338378906]",0,0,sub-037,25000,25499.0
00000899.npy,"[0.9404691457748413, -1.4584101438522339, -0.6625410914421082]",train,"[0.7739282846450806, 0.07028791308403015, 0.1557837873697281]",0,0,sub-037,25500,25999.0
00000900.npy,"[-0.617122232913971, 0.16687192022800446, -0.3864249885082245]",train,"[0.22473523020744324, 0.49221572279930115, 0.2830490171909332]",1,0,sub-037,26000,26499.0
00000901.npy,"[-1.7495090961456299, 1.3904266357421875, -1.0563911199569702]",train,"[0.03831076622009277, 0.8850699663162231, 0.07661928981542587]",1,0,sub-037,26500,26999.0
00000902.npy,"[-1.0209325551986694, 0.02404133416712284, -0.5040499567985535]",train,"[0.18115560710430145, 0.5150840878486633, 0.3037603199481964]",1,0,sub-037,27000,27499.0
00000903.npy,"[-1.8504931926727295, -0.3462119400501251, 0.16250506043434143]",train,"[0.07700217515230179, 0.34658047556877136, 0.5764173865318298]",2,0,sub-037,27500,27999.0
00000904.npy,"[-0.9165890216827393, 0.14640937745571136, -0.5813592672348022]",train,"[0.18891805410385132, 0.5469250679016113, 0.26415684819221497]",1,0,sub-037,28000,28499.0
00000905.npy,"[-0.6008169054985046, -0.8652217388153076, -0.05872467905282974]",train,"[0.28675779700279236, 0.22013327479362488, 0.49310895800590515]",2,0,sub-037,28500,28999.0
00000906.npy,"[0.879726231098175, -1.3958427906036377, -1.1324197053909302]",train,"[0.8087736964225769, 0.08309214562177658, 0.1081342101097107]",0,0,sub-037,29000,29499.0
