crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[-0.11795879155397415, -3.5102550983428955, -2.50864839553833]",train,"[0.8887325525283813, 0.029889285564422607, 0.08137813955545425]",0,0,sub-037,0,499.0
00000849.npy,"[-0.27033570408821106, -2.487546920776367, -1.8723416328430176]",train,"[0.7631232142448425, 0.08311358839273453, 0.15376317501068115]",0,0,sub-037,500,999.0
00000850.npy,"[-0.1271001696586609, -3.386733293533325, -2.45882248878479]",train,"[0.8806455135345459, 0.03381897509098053, 0.08553561568260193]",0,0,sub-037,1000,1499.0
00000851.npy,"[-0.03181890398263931, -5.09329080581665, -3.6816959381103516]",train,"[0.9686819911003113, 0.00613778829574585, 0.025180231779813766]",0,0,sub-037,1500,1999.0
00000852.npy,"[-0.34001728892326355, -2.8335323333740234, -1.4721260070800781]",train,"[0.711758017539978, 0.058804772794246674, 0.2294371873140335]",0,0,sub-037,2000,2499.0
00000853.npy,"[-0.45084983110427856, -1.6761268377304077, -1.7383155822753906]",train,"[0.6370864510536194, 0.1870972216129303, 0.17581626772880554]",0,0,sub-037,2500,2999.0
00000854.npy,"[-0.22041699290275574, -2.61448335647583, -2.082564353942871]",train,"[0.8021841645240784, 0.07320559024810791, 0.12461024522781372]",0,0,sub-037,3000,3499.0
00000855.npy,"[-0.5694365501403809, -1.6751019954681396, -1.3989063501358032]",train,"[0.5658441781997681, 0.1872890740633011, 0.24686680734157562]",0,0,sub-037,3500,3999.0
00000856.npy,"[-0.07954678684473038, -3.8222594261169434, -2.907958984375]",train,"[0.9235346913337708, 0.021878309547901154, 0.054587021470069885]",0,0,sub-037,4000,4499.0
00000857.npy,"[-0.715629518032074, -1.3713374137878418, -1.357324242591858]",train,"[0.48888424038887024, 0.25376734137535095, 0.2573484480381012]",0,0,sub-037,4500,4999.0
00000858.npy,"[-0.0986003652215004, -3.460888147354126, -2.772693634033203]",train,"[0.9061046242713928, 0.0314018577337265, 0.06249343976378441]",0,0,sub-037,5000,5499.0
00000859.npy,"[-0.0451829619705677, -4.5906901359558105, -3.380464792251587]",train,"[0.9558225274085999, 0.010145856067538261, 0.03403163328766823]",0,0,sub-037,5500,5999.0
00000860.npy,"[-0.16996070742607117, -3.082261323928833, -2.2032222747802734]",train,"[0.8436979055404663, 0.04585544392466545, 0.11044669151306152]",0,0,sub-037,6000,6499.0
00000861.npy,"[-0.11590081453323364, -3.6848013401031494, -2.472966194152832]",train,"[0.8905635476112366, 0.02510215900838375, 0.08433432877063751]",0,0,sub-037,6500,6999.0
00000862.npy,"[-0.040196798741817474, -4.520303726196289, -3.557363986968994]",train,"[0.9606004953384399, 0.010885719209909439, 0.028513895347714424]",0,0,sub-037,7000,7499.0
00000863.npy,"[-0.3524317741394043, -2.0192911624908447, -1.8062196969985962]",train,"[0.7029765248298645, 0.1327495127916336, 0.1642739623785019]",0,0,sub-037,7500,7999.0
00000864.npy,"[-0.07969969511032104, -3.810300588607788, -2.9101994037628174]",train,"[0.9233936071395874, 0.02214152365922928, 0.05446486920118332]",0,0,sub-037,8000,8499.0
00000865.npy,"[-0.5000775456428528, -1.8055264949798584, -1.4734728336334229]",train,"[0.6064836978912354, 0.16438789665699005, 0.2291284054517746]",0,0,sub-037,8500,8999.0
00000866.npy,"[-0.4736831784248352, -1.7594478130340576, -1.5839864015579224]",train,"[0.6227045059204102, 0.17213986814022064, 0.2051556408405304]",0,0,sub-037,9000,9499.0
00000867.npy,"[-1.9806604385375977, -1.7056913375854492, -0.3851109445095062]",train,"[0.13797807693481445, 0.18164676427841187, 0.6803751587867737]",2,0,sub-037,9500,9999.0
00000868.npy,"[-1.4400910139083862, -1.019460678100586, -0.9105463027954102]",train,"[0.23690620064735413, 0.3607894778251648, 0.40230438113212585]",2,0,sub-037,10000,10499.0
00000869.npy,"[-1.337684154510498, -1.4755566120147705, -0.6755118370056152]",train,"[0.26245275139808655, 0.22865141928195953, 0.5088958144187927]",2,0,sub-037,10500,10999.0
00000870.npy,"[-2.048786163330078, -1.286420226097107, -0.5194447040557861]",train,"[0.128891259431839, 0.2762579321861267, 0.5948507785797119]",2,0,sub-037,11000,11499.0
00000871.npy,"[-0.023821694776415825, -5.551085472106934, -3.9293198585510254]",train,"[0.976459801197052, 0.0038832402788102627, 0.019657034426927567]",0,0,sub-037,11500,11999.0
00000872.npy,"[-0.056332409381866455, -4.557676792144775, -3.1170260906219482]",train,"[0.9452248811721802, 0.010486394166946411, 0.04428867995738983]",0,0,sub-037,12000,12499.0
00000873.npy,"[-0.14729054272174835, -3.395111083984375, -2.2689571380615234]",train,"[0.8630431890487671, 0.03353682532906532, 0.10341997444629669]",0,0,sub-037,12500,12999.0
00000874.npy,"[-0.4108864665031433, -2.0104048252105713, -1.5945324897766113]",train,"[0.6630621552467346, 0.13393443822860718, 0.2030034065246582]",0,0,sub-037,13000,13499.0
00000875.npy,"[-0.2027408331632614, -3.0583972930908203, -1.9910845756530762]",train,"[0.8164898753166199, 0.0469629131257534, 0.13654725253582]",0,0,sub-037,13500,13999.0
00000876.npy,"[-0.6625095009803772, -1.6592931747436523, -1.223595142364502]",train,"[0.5155559182167053, 0.19027341902256012, 0.29417067766189575]",0,0,sub-037,14000,14499.0
00000877.npy,"[-0.24566328525543213, -2.83337140083313, -1.8388495445251465]",train,"[0.7821854948997498, 0.05881423503160477, 0.1590002179145813]",0,0,sub-037,14500,14999.0
