crop_file,logits,dataset,softmax_values,pred_label,true_label,original_rec,crop_start_sample,crop_end_sample
00000848.npy,"[1.005740761756897, -1.3323785066604614, -1.0318361520767212]",train,"[0.8150935173034668, 0.07866382598876953, 0.10624267160892487]",0,0,sub-037,0,499.0
00000849.npy,"[0.8197425603866577, -0.995477020740509, -1.053062915802002]",train,"[0.7595933079719543, 0.12366341799497604, 0.11674331873655319]",0,0,sub-037,500,999.0
00000850.npy,"[1.1767609119415283, -1.2773584127426147, -0.8113257884979248]",train,"[0.8177310228347778, 0.07027486711740494, 0.11199416220188141]",0,0,sub-037,1000,1499.0
00000851.npy,"[1.3841241598129272, -2.082491874694824, -0.8803838491439819]",train,"[0.8809768557548523, 0.027506304904818535, 0.091516874730587]",0,0,sub-037,1500,1999.0
00000852.npy,"[1.1484531164169312, -1.550824761390686, -0.6106917262077332]",train,"[0.8068119883537292, 0.05426138639450073, 0.13892662525177002]",0,0,sub-037,2000,2499.0
00000853.npy,"[0.4934318959712982, -0.7963173985481262, -0.8026255369186401]",train,"[0.645599365234375, 0.17775920033454895, 0.17664138972759247]",0,0,sub-037,2500,2999.0
00000854.npy,"[0.9194491505622864, -1.1175787448883057, -0.8414808511734009]",train,"[0.7678717970848083, 0.10014258325099945, 0.131985604763031]",0,0,sub-037,3000,3499.0
00000855.npy,"[0.19651566445827484, -0.5889401435852051, -0.42242565751075745]",train,"[0.5013973712921143, 0.22859299182891846, 0.2700096368789673]",0,0,sub-037,3500,3999.0
00000856.npy,"[1.3045040369033813, -1.5803961753845215, -1.2958918809890747]",train,"[0.8848738670349121, 0.04942938685417175, 0.06569673866033554]",0,0,sub-037,4000,4499.0
00000857.npy,"[0.7422524094581604, -0.9319915175437927, -0.7010614275932312]",train,"[0.7024475932121277, 0.1316736936569214, 0.16587871313095093]",0,0,sub-037,4500,4999.0
00000858.npy,"[1.4450695514678955, -1.6599029302597046, -1.3734910488128662]",train,"[0.9053726196289062, 0.0405840165913105, 0.054043326526880264]",0,0,sub-037,5000,5499.0
00000859.npy,"[1.706276297569275, -2.0793585777282715, -1.3491827249526978]",train,"[0.9347580075263977, 0.021213814616203308, 0.04402812197804451]",0,0,sub-037,5500,5999.0
00000860.npy,"[0.9930282831192017, -1.613783836364746, -0.9893344640731812]",train,"[0.8254143595695496, 0.06089027225971222, 0.11369538307189941]",0,0,sub-037,6000,6499.0
00000861.npy,"[1.902907133102417, -2.6918978691101074, -0.8079654574394226]",train,"[0.9288648366928101, 0.009385430254042149, 0.061749789863824844]",0,0,sub-037,6500,6999.0
00000862.npy,"[1.833458662033081, -2.4853739738464355, -1.4680417776107788]",train,"[0.9522509574890137, 0.012679622508585453, 0.03506937623023987]",0,0,sub-037,7000,7499.0
00000863.npy,"[0.6170608401298523, -1.052809715270996, -0.6454596519470215]",train,"[0.6797119975090027, 0.12797033786773682, 0.1923176795244217]",0,0,sub-037,7500,7999.0
00000864.npy,"[1.057958722114563, -1.0673741102218628, -0.9254010915756226]",train,"[0.7955453395843506, 0.09498272091150284, 0.10947190225124359]",0,0,sub-037,8000,8499.0
00000865.npy,"[0.28848034143447876, -0.5497270822525024, -0.2595366835594177]",train,"[0.4973689019680023, 0.21510463953018188, 0.28752651810646057]",0,0,sub-037,8500,8999.0
00000866.npy,"[0.691588819026947, -0.7561924457550049, -0.7562472224235535]",train,"[0.6801935434341431, 0.15990757942199707, 0.15989883244037628]",0,0,sub-037,9000,9499.0
00000867.npy,"[-1.404962420463562, -0.7795279026031494, 0.7613241076469421]",train,"[0.08624497801065445, 0.16119682788848877, 0.752558171749115]",2,0,sub-037,9500,9999.0
00000868.npy,"[-0.8167810440063477, -0.3187485635280609, -0.293984979391098]",train,"[0.230828657746315, 0.37982404232025146, 0.38934728503227234]",2,0,sub-037,10000,10499.0
00000869.npy,"[-0.572041928768158, -0.07800434529781342, -0.14007678627967834]",train,"[0.23928016424179077, 0.3921610414981842, 0.36855873465538025]",1,0,sub-037,10500,10999.0
00000870.npy,"[-0.39202332496643066, -0.3823409676551819, 0.10982751101255417]",train,"[0.2731117308139801, 0.2757689356803894, 0.4511193335056305]",2,0,sub-037,11000,11499.0
00000871.npy,"[2.579674005508423, -2.801424741744995, -1.9409923553466797]",train,"[0.9847515225410461, 0.004532577004283667, 0.010715843178331852]",0,0,sub-037,11500,11999.0
00000872.npy,"[2.5595099925994873, -3.0119504928588867, -1.972555160522461]",train,"[0.9856457114219666, 0.0037503014318645, 0.010604004375636578]",0,0,sub-037,12000,12499.0
00000873.npy,"[1.2502038478851318, -1.63639235496521, -0.5378957390785217]",train,"[0.8176323771476746, 0.045595839619636536, 0.13677172362804413]",0,0,sub-037,12500,12999.0
00000874.npy,"[0.7899659276008606, -1.074000358581543, -0.437472403049469]",train,"[0.6905606389045715, 0.10707585513591766, 0.20236347615718842]",0,0,sub-037,13000,13499.0
00000875.npy,"[1.4040635824203491, -1.6275324821472168, -0.4351697564125061]",train,"[0.8283783197402954, 0.03995979204773903, 0.1316618174314499]",0,0,sub-037,13500,13999.0
00000876.npy,"[0.7508032917976379, -1.350881576538086, -0.2565952241420746]",train,"[0.6723059415817261, 0.08218958973884583, 0.2455044388771057]",0,0,sub-037,14000,14499.0
00000877.npy,"[1.5967613458633423, -2.3752758502960205, -0.8319852352142334]",train,"[0.9033567905426025, 0.017014741897583008, 0.07962840795516968]",0,0,sub-037,14500,14999.0
00000878.npy,"[1.6467212438583374, -2.300355911254883, -0.6699390411376953]",train,"[0.8945236802101135, 0.017274200916290283, 0.08820212632417679]",0,0,sub-037,15000,15499.0
00000879.npy,"[1.1410502195358276, -1.458460807800293, -0.689024031162262]",train,"[0.8099057078361511, 0.06018401309847832, 0.12991021573543549]",0,0,sub-037,15500,15999.0
00000880.npy,"[1.5134891271591187, -2.119232654571533, -0.9500784277915955]",train,"[0.8996245861053467, 0.023789770901203156, 0.07658568024635315]",0,0,sub-037,16000,16499.0
00000881.npy,"[1.656182050704956, -2.0302419662475586, -1.1499098539352417]",train,"[0.9212325215339661, 0.023087432608008385, 0.05567998066544533]",0,0,sub-037,16500,16999.0
00000882.npy,"[0.7290334701538086, -1.1342077255249023, -0.1350957751274109]",train,"[0.6342814564704895, 0.09842074662446976, 0.26729780435562134]",0,0,sub-037,17000,17499.0
00000883.npy,"[0.9357799291610718, -1.74248206615448, -0.5364885330200195]",train,"[0.7703644633293152, 0.052910491824150085, 0.17672507464885712]",0,0,sub-037,17500,17999.0
00000884.npy,"[0.9680999517440796, -1.5964854955673218, -0.6532340049743652]",train,"[0.7845684885978699, 0.06037339195609093, 0.1550581157207489]",0,0,sub-037,18000,18499.0
00000885.npy,"[-0.21317318081855774, -0.5043656229972839, -0.028889361768960953]",train,"[0.3390142023563385, 0.2533697187900543, 0.40761613845825195]",2,0,sub-037,18500,18999.0
00000886.npy,"[0.7664560079574585, -1.2340608835220337, -0.3905617594718933]",train,"[0.6898036599159241, 0.0933065339922905, 0.21688978374004364]",0,0,sub-037,19000,19499.0
00000887.npy,"[0.7146463394165039, -1.099494218826294, -0.6033592820167542]",train,"[0.698984682559967, 0.11391906440258026, 0.1870962530374527]",0,0,sub-037,19500,19999.0
00000888.npy,"[-0.2808230519294739, -0.23784340918064117, -0.18616554141044617]",train,"[0.318147212266922, 0.3321191668510437, 0.3497335910797119]",2,0,sub-037,20000,20499.0
00000889.npy,"[1.5288392305374146, -2.2845757007598877, -0.769893229007721]",train,"[0.8909013867378235, 0.019664572551846504, 0.08943402022123337]",0,0,sub-037,20500,20999.0
00000890.npy,"[0.4340241551399231, -1.3771251440048218, -0.36490511894226074]",train,"[0.6198565363883972, 0.10132555663585663, 0.2788178622722626]",0,0,sub-037,21000,21499.0
00000891.npy,"[-0.21694444119930267, -0.15564724802970886, -0.22842630743980408]",train,"[0.32767564058303833, 0.348389595746994, 0.3239348232746124]",1,0,sub-037,21500,21999.0
00000892.npy,"[1.0263233184814453, -1.2843979597091675, -1.0109155178070068]",train,"[0.8132871985435486, 0.08066969364881516, 0.10604308545589447]",0,0,sub-037,22000,22499.0
00000893.npy,"[1.0749680995941162, -1.8541465997695923, -0.6947097778320312]",train,"[0.8171055316925049, 0.043669652193784714, 0.13922487199306488]",0,0,sub-037,22500,22999.0
00000894.npy,"[1.3355357646942139, -1.9432523250579834, -0.9045085906982422]",train,"[0.8740283846855164, 0.032928042113780975, 0.09304362535476685]",0,0,sub-037,23000,23499.0
00000895.npy,"[0.4618920087814331, -1.26251220703125, -0.6611794829368591]",train,"[0.6650888919830322, 0.11857152730226517, 0.2163395881652832]",0,0,sub-037,23500,23999.0
00000896.npy,"[-0.11300493776798248, -1.5473241806030273, -0.16804157197475433]",train,"[0.45772284269332886, 0.10906507074832916, 0.433212012052536]",0,0,sub-037,24000,24499.0
00000897.npy,"[0.34129947423934937, -1.3079941272735596, -0.023139845579862595]",train,"[0.5300058126449585, 0.10185948759317398, 0.36813461780548096]",0,0,sub-037,24500,24999.0
00000898.npy,"[0.011446844786405563, -0.35760390758514404, 0.1677897721529007]",train,"[0.34957486391067505, 0.2416926771402359, 0.40873241424560547]",2,0,sub-037,25000,25499.0
00000899.npy,"[0.20166613161563873, -0.8619928956031799, -0.11912806332111359]",train,"[0.4829137623310089, 0.1666972041130066, 0.3503889739513397]",0,0,sub-037,25500,25999.0
00000900.npy,"[0.05455310270190239, -0.4025208353996277, 0.06851515173912048]",train,"[0.37775856256484985, 0.23917162418365479, 0.38306984305381775]",2,0,sub-037,26000,26499.0
00000901.npy,"[-0.8155165314674377, -0.09906361252069473, -0.09065454453229904]",train,"[0.19563327729701996, 0.400492399930954, 0.40387436747550964]",2,0,sub-037,26500,26999.0
00000902.npy,"[-0.37191763520240784, -0.45356518030166626, -0.23639161884784698]",train,"[0.3260796368122101, 0.30051389336586, 0.37340646982192993]",2,0,sub-037,27000,27499.0
00000903.npy,"[-0.8607970476150513, -0.4235493242740631, 0.4549424350261688]",train,"[0.15933850407600403, 0.24672606587409973, 0.5939353704452515]",2,0,sub-037,27500,27999.0
00000904.npy,"[-0.24034526944160461, -0.28303831815719604, -0.5618770718574524]",train,"[0.3726833462715149, 0.3571072220802307, 0.2702094316482544]",0,0,sub-037,28000,28499.0
00000905.npy,"[-0.28101131319999695, -0.8553097248077393, -0.11714467406272888]",train,"[0.36480948328971863, 0.20542412996292114, 0.4297664165496826]",2,0,sub-037,28500,28999.0
00000906.npy,"[0.5593428611755371, -1.124508261680603, -0.395414263010025]",train,"[0.6367142200469971, 0.11821083724498749, 0.24507489800453186]",0,0,sub-037,29000,29499.0
00000907.npy,"[0.4460194408893585, -0.8316973447799683, -0.8802424669265747]",train,"[0.6476093530654907, 0.18047116696834564, 0.17191942036151886]",0,0,sub-037,29500,29999.0
00000908.npy,"[0.8008421659469604, -0.9848170280456543, -0.6333687901496887]",train,"[0.7112427353858948, 0.11926580220460892, 0.1694914996623993]",0,0,sub-037,30000,30499.0
00000909.npy,"[0.5209652781486511, -0.9963108897209167, -0.7118911147117615]",train,"[0.6619153022766113, 0.1451636105775833, 0.19292108714580536]",0,0,sub-037,30500,30999.0
00000910.npy,"[0.3228689432144165, -0.8663402795791626, -0.27396464347839355]",train,"[0.539079487323761, 0.16412916779518127, 0.29679134488105774]",0,0,sub-037,31000,31499.0
00000911.npy,"[0.9922311902046204, -1.2651118040084839, -0.8531963229179382]",train,"[0.7920253276824951, 0.08286810666322708, 0.1251065582036972]",0,0,sub-037,31500,31999.0
00000912.npy,"[-1.1413437128067017, -0.3764882981777191, 0.3247116208076477]",train,"[0.13367559015750885, 0.2872265875339508, 0.5790978074073792]",2,0,sub-037,32000,32499.0
00000913.npy,"[-0.6825709342956543, -0.4149070084095001, -0.10667265206575394]",train,"[0.24475997686386108, 0.3198786973953247, 0.4353613257408142]",2,0,sub-037,32500,32999.0
00000914.npy,"[-0.39921092987060547, -0.6144431233406067, 0.18795078992843628]",train,"[0.27737483382225037, 0.2236623615026474, 0.49896275997161865]",2,0,sub-037,33000,33499.0
00000915.npy,"[-1.0917776823043823, -0.4533379375934601, -0.25112617015838623]",train,"[0.1918870061635971, 0.36334267258644104, 0.4447703957557678]",2,0,sub-037,33500,33999.0
00000916.npy,"[1.4612293243408203, -2.260356903076172, -0.8000811338424683]",train,"[0.8862031698226929, 0.02144218049943447, 0.09235461801290512]",0,0,sub-037,34000,34499.0
00000917.npy,"[1.9295339584350586, -2.741229295730591, -1.0945501327514648]",train,"[0.9452086687088013, 0.008851993829011917, 0.045939330011606216]",0,0,sub-037,34500,34999.0
00000918.npy,"[1.0445774793624878, -1.3000073432922363, -0.8885893821716309]",train,"[0.8060770034790039, 0.077292300760746, 0.1166306883096695]",0,0,sub-037,35000,35499.0
00000919.npy,"[0.45792147517204285, -0.9743196964263916, -0.20843766629695892]",train,"[0.570662796497345, 0.13625898957252502, 0.2930781841278076]",0,0,sub-037,35500,35999.0
00000920.npy,"[1.7194167375564575, -2.448913812637329, -0.9890673160552979]",train,"[0.9241154193878174, 0.014303529635071754, 0.06158096343278885]",0,0,sub-037,36000,36499.0
00000921.npy,"[-0.8527949452400208, -0.1653614640235901, -0.12279371172189713]",train,"[0.19748452305793762, 0.39271870255470276, 0.4097967743873596]",2,0,sub-037,36500,36999.0
00000922.npy,"[1.6547996997833252, -2.526854991912842, -0.7195457220077515]",train,"[0.9022431969642639, 0.013780150562524796, 0.08397664874792099]",0,0,sub-037,37000,37499.0
00000923.npy,"[1.6082122325897217, -2.014220952987671, -1.3235540390014648]",train,"[0.9259085059165955, 0.024738043546676636, 0.049353521317243576]",0,0,sub-037,37500,37999.0
00000924.npy,"[0.8956336379051208, -1.1526861190795898, -0.5265409350395203]",train,"[0.7298521995544434, 0.09411545097827911, 0.17603230476379395]",0,0,sub-037,38000,38499.0
00000925.npy,"[-1.4923471212387085, -0.3816310167312622, 0.10457394272089005]",train,"[0.11142882704734802, 0.33835723996162415, 0.5502139329910278]",2,0,sub-037,38500,38999.0
00000926.npy,"[-0.49539220333099365, -0.45194506645202637, -0.35457780957221985]",train,"[0.3129287362098694, 0.32682427763938904, 0.36024701595306396]",2,0,sub-037,39000,39499.0
00000927.npy,"[1.062989354133606, -1.505968451499939, -0.570688784122467]",train,"[0.786271333694458, 0.060240454971790314, 0.15348821878433228]",0,0,sub-037,39500,39999.0
00000928.npy,"[-0.6591151356697083, -0.7699940800666809, 0.19159042835235596]",train,"[0.2360525280237198, 0.21127811074256897, 0.55266934633255]",2,0,sub-037,40000,40499.0
00000929.npy,"[-0.3388857841491699, -0.7241367101669312, -0.09935485571622849]",train,"[0.3388758897781372, 0.23053044080734253, 0.43059366941452026]",2,0,sub-037,40500,40999.0
00000930.npy,"[-0.23311877250671387, -0.2821672260761261, -0.19982300698757172]",train,"[0.33489716053009033, 0.3188672959804535, 0.3462355136871338]",2,0,sub-037,41000,41499.0
00000931.npy,"[0.8502737879753113, -1.43911874294281, -0.7468762397766113]",train,"[0.7669883966445923, 0.07771740853786469, 0.15529420971870422]",0,0,sub-037,41500,41999.0
00000932.npy,"[1.041264533996582, -1.8018162250518799, -0.46652752161026]",train,"[0.7814672589302063, 0.04551729932427406, 0.1730155050754547]",0,0,sub-037,42000,42499.0
00000933.npy,"[-0.005588858388364315, -0.43002617359161377, -0.03957754746079445]",train,"[0.38157451152801514, 0.2496022880077362, 0.36882323026657104]",0,0,sub-037,42500,42999.0
00000934.npy,"[0.37266626954078674, -0.8379185795783997, -0.018805090337991714]",train,"[0.5065639615058899, 0.15096767246723175, 0.3424683213233948]",0,0,sub-037,43000,43499.0
00000935.npy,"[0.9765285849571228, -1.212113380432129, -0.5159526467323303]",train,"[0.7480085492134094, 0.08382844924926758, 0.16816291213035583]",0,0,sub-037,43500,43999.0
00000936.npy,"[-0.7714359164237976, 0.09525101631879807, -0.03261331468820572]",train,"[0.18273232877254486, 0.4347231388092041, 0.38254451751708984]",1,0,sub-037,44000,44499.0
00000937.npy,"[1.0149275064468384, -1.7166577577590942, -0.3564501106739044]",train,"[0.7582231163978577, 0.049372442066669464, 0.19240452349185944]",0,0,sub-037,44500,44999.0
00000938.npy,"[1.5875749588012695, -2.620046615600586, -0.7936881184577942]",train,"[0.903084933757782, 0.013439458794891834, 0.08347553759813309]",0,0,sub-037,45000,45499.0
00000939.npy,"[0.9752879738807678, -1.3820343017578125, -0.6462826728820801]",train,"[0.7738372087478638, 0.0732617974281311, 0.1529010385274887]",0,0,sub-037,45500,45999.0
00000940.npy,"[1.018208384513855, -1.9419959783554077, -0.2866523861885071]",train,"[0.7558472156524658, 0.039159178733825684, 0.20499354600906372]",0,0,sub-037,46000,46499.0
00000941.npy,"[0.6928963661193848, -1.1166422367095947, -0.30517661571502686]",train,"[0.6526057720184326, 0.10685092210769653, 0.24054333567619324]",0,0,sub-037,46500,46999.0
00000942.npy,"[0.5771191120147705, -1.315659999847412, -0.16040892899036407]",train,"[0.6138933897018433, 0.09248461574316025, 0.2936220169067383]",0,0,sub-037,47000,47499.0
00000943.npy,"[1.194232702255249, -1.8367588520050049, -0.5038983225822449]",train,"[0.8121544122695923, 0.03920086845755577, 0.14864476025104523]",0,0,sub-037,47500,47999.0
00000944.npy,"[-0.14369599521160126, -0.8285755515098572, 0.003103354014456272]",train,"[0.37561893463134766, 0.18936865031719208, 0.4350124001502991]",2,0,sub-037,48000,48499.0
00000945.npy,"[1.202965497970581, -1.9253877401351929, -0.5593030452728271]",train,"[0.8227440118789673, 0.03602784126996994, 0.14122812449932098]",0,0,sub-037,48500,48999.0
00000946.npy,"[1.3205978870391846, -1.579848051071167, -0.346089243888855]",train,"[0.8039422631263733, 0.04421577230095863, 0.15184198319911957]",0,0,sub-037,49000,49499.0
00000947.npy,"[-0.7938538789749146, 0.6408745050430298, -0.5720991492271423]",train,"[0.15511645376682281, 0.6512570977210999, 0.19362647831439972]",1,0,sub-037,49500,49999.0
00000948.npy,"[1.4729362726211548, -2.0568783283233643, -0.9317195415496826]",train,"[0.8931706547737122, 0.02617914043366909, 0.08065023273229599]",0,0,sub-037,50000,50499.0
00000949.npy,"[0.5256296396255493, -0.7440546154975891, -0.17534109950065613]",train,"[0.5627386569976807, 0.1580847203731537, 0.27917659282684326]",0,0,sub-037,50500,50999.0
00000950.npy,"[0.10551328957080841, -0.4331713020801544, -0.3697076737880707]",train,"[0.4534606337547302, 0.2646012306213379, 0.2819380760192871]",0,0,sub-037,51000,51499.0
00000951.npy,"[-0.1983036994934082, -0.05497266724705696, -0.17237628996372223]",train,"[0.3144280016422272, 0.362885057926178, 0.32268691062927246]",1,0,sub-037,51500,51999.0
